SOURCE_NAME	CRASH_ID	CRASH_DATE	CRASH_TIME	LATITUDE	LONGITUDE	STREET_NAME	TOTAL_INJURY_COUNT	TOTAL_FATAL_COUNT	PEDESTRIANS_INJURED	PEDESTRIANS_KILLED	PEDESTRIANS_INVOLVED	CRASH_HOUR	CRASH_DAY_OF_WEEK	CRASH_MONTH	MOTORISTS_INJURED	MOTORISTS_KILLED	CRASH_SEASON	CONTRIBUTING_FACTORS_DESCRIPTION	CONTRIBUTING_FACTORS_ID	VEHICLE_TYPE	VEHICLE_COUNT	DI_CREATEDDATE	DI_WORKFLOWFILENAME
NYC	4455765	2021-09-11	02:39:00			WHITESTONE EXPRESSWAY	2	0	0	0	0	2	6	9	2	0	Fall	Aggressive Driving/Road Rage$Unspecified$$$$	73$null$null$null$null	Sedan&Sedan&	2	2024-04-07	BQejDE
NYC	4513547	2022-03-26	11:45:00			QUEENSBORO BRIDGE UPPER	1	0	0	0	0	11	6	3	1	0	Spring	Pavement Slippery$$$$$	null$null$null$null$null	Sedan&	1	2024-04-07	BQejDE
NYC	4541903	2022-06-29	06:55:00			THROGS NECK BRIDGE	0	0	0	0	0	6	3	6	0	0	Summer	Following Too Closely$Unspecified$$$$	44$null$null$null$null	Sedan&Pick-up Truck&	2	2024-04-07	BQejDE
NYC	4456314	2021-09-11	09:35:00	40.667202	-73.8665	1211      LORING AVENUE	0	0	0	0	0	9	6	9	0	0	Fall	Unspecified$$$$$	null$null$null$null$null	Sedan&	1	2024-04-07	BQejDE
NYC	4486609	2021-12-14	08:13:00	40.683304	-73.917274	SARATOGA AVENUE	0	0	0	0	0	8	2	12	0	0	Winter	$$$$$	null$null$null$null$null		1	2024-04-07	BQejDE
CHI	14625c6d81af8cc52d5e53a2361e8ef76f469c6597ac146e716eb4969d5a1b428b5b200ee513aa7bcc75552aee403e2c370e196820c0e5d78bd8b0d1e98b741a	2018-09-23	01:18:00	41.8009642	-87.68905583	51ST ST	0	0	0	0	0	1	1	9	0	0	Fall	UNABLE TO DETERMINE$UNABLE TO DETERMINE	132$132	NULL	NULL	2024-04-07	BQejDE
CHI	1462757befbe6f81fa61f2099557f80961512560c68573e53975d0d05d162d43fd0ccefe1a4180c00be9dc4cbdb39935e4e3dcc3b4fb5a5f75a4efa4bccb6d9a	2020-10-24	19:30:00	41.7135699	-87.68198572	WESTERN AVE	1	0	0	0	0	19	7	10	1	0	Fall	UNABLE TO DETERMINE$NOT APPLICABLE	132$101	NULL	NULL	2024-04-07	BQejDE
CHI	1462a7b0def161af88e2286d000f24c8a6a95f68bd72469425b80318073eed6a2830b8131a078c2bf8bde8252a3c54307981c5b767d504f7589105092dfe8a1c	2018-08-13	11:30:00	41.88564259	-87.62693003	LAKE ST	0	0	0	0	0	11	2	8	0	0	Summer	FOLLOWING TOO CLOSELY$NOT APPLICABLE	44$101	NULL	NULL	2024-04-07	BQejDE
CHI	1462a9aab84bfb3af862dcad4647e11c8bd91486ecdc548c8ceb2ae669695d3ba4a81421a69851fc74553090787089a0951c01c7929c244792e11d47e803af21	2023-07-07	15:15:00	41.87890427	-87.73772133	KILBOURN AVE	0	0	0	0	0	15	6	7	0	0	Summer	NOT APPLICABLE$UNABLE TO DETERMINE	101$132	NULL	NULL	2024-04-07	BQejDE
CHI	1463015e71fe2ef41e5126324fcbf3af4a200039eb173d6f4112c98e1704fe17ea8cbf324ae8b1b618df10cad0b30e9cc5cc8267144d3bf3042a6cf6cfcfb5d9	2016-11-01	18:40:00	41.92469427	-87.71859338	FULLERTON AVE	0	0	0	0	0	18	3	11	0	0	Fall	FOLLOWING TOO CLOSELY$FOLLOWING TOO CLOSELY	44$44	NULL	NULL	2024-04-07	BQejDE
AUS	13762420	2014-03-30	10:58:00			3707 MANCHACA RD	0	0	0	0	0	10	7	3	0	0	Spring	null$null	null$null	Passenger car	1	2024-04-07	BQejDE
AUS	13777334	2014-03-27	13:07:00	30.404	-97.72445	PALM WAY TO MOPAC NB RAMP	0	0	0	0	0	13	4	3	0	0	Spring	null$null	null$null	Large passenger vehicle	1	2024-04-07	BQejDE
AUS	13777441	2014-03-28	15:42:00	30.43798421	-97.78855804	BALCONES CLUB DR	0	0	0	0	0	15	5	3	0	0	Spring	null$null	null$null	Large passenger vehicle	1	2024-04-07	BQejDE
AUS	13797332	2014-04-09	14:09:00	30.3276208	-97.66268086	US0290	0	0	0	0	0	14	3	4	0	0	Spring	null$null	null$null	Motor vehicle â€“ other	1	2024-04-07	BQejDE
AUS	13795604	2014-04-07	18:00:00	30.22515795	-97.76719944	US0290	0	0	0	0	0	18	1	4	0	0	Spring	Cell/Mobile Device Use - Talking  $null	74$null	Passenger car	1	2024-04-07	BQejDE